NAFTA Common Classification System Codes,,GSIN,
Group,Sub-Group,Full GSIN Code,GSIN Description EN
"J. Maintenance, Repair, Modification, Rebuilding and Installation of Equipment","JO Maintenance, Repair, Modification, Rebuilding and Installation of Goods/Equipment; includes as examples:
 1. Textile Finishing, Dying and Printing
 2. Welding services not related to Construction. (see CPC 5155 for Construction Welding) ",-,-
,,J019A,"Maintenance, Repair, Modification, Rebuilding & Installation of Equipment related to Ships"
,,JD1005,"Guns, Through 30mm - Production Design"
,,JD1270,Aircraft Gunnery Fire Control Components - Production Design
,,JD1320,"AMMUNITION, OVER 125MM - PRODUCTION DESIGN"
,,JD1330,GRENADES - PRODUCTION DESIGN
,,JD1340,"ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS - PRODUCTION   DESIGN"
,,JD1345,LAND MINES - PRODUCTION DESIGN
,,JD1370,PYROTECHNICS - PRODUCTION DESIGN
,,JD1375,DEMOLITION MATERIALS - PRODUCTION DESIGN
,,JD1386,"EXPLOSIVE ORDNANCE DISPOSAL TOOLS, UNDERWATER- PRODUCTION DESIGN"
,,JD1520,"AIRCRAFT, ROTARY WING - PRODUCTION DESIGN"
,,JD1730,AIRCRAFT GROUND SERVICING EQUIPMENT - PRODUCTION DESIGN
,,JD1990,"Ships, Small Craft, Pontoons, and Floating Docks - Production Design"
,,JD2060,COMMERCIAL FISHING EQUIPMENT - PRODUCTION DESIGN
,,JD2310,PASSENGER MOTOR VEHICLES - PRODUCTION DESIGN
,,JD2320,"TRUCKS AND TRUCK TRACTORS, WHEELED - PRODUCTION DESIGN"
,,JD2350,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, TRACKED - PRODUCTION    DESIGN"
,,JD2510,"VEHICULAR CAB, BODY AND FRAME STRUCTURAL COMPONENTS - PRODUCTION DESIGN"
,,JD5315,"NAILS, KEYS AND PINS - PRODUCTION DESIGN"
,,JD5826,"RADIO NAVIGATION EQUIPMENT, (AIRBORNE) - PRODUCTION DESIGN"
,,JD5831,"INTERCOMMUNICATION AND PUBLIC ADDRESS SYSTEMS, AIRBORNE -       PRODUCTION DESIGN"
,,JD5840A,"RADAR EQUIPMENT, EXCEPT AIRBORNE, PRODUCTION DESIGN"
,,JD5865,"ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK   REACTION CAPABILITY EQUIPMENT - PRODUCTION DESIGN"
,,JD5895,MISCELLANEOUS COMMUNICATIONS EQUIPMENT - PRODUCTION DESIGN
,,JD5905,RESISTORS - PRODUCTION DESIGN
,,JD5960,ELECTRON TUBES AND ASSOCIATED HARDWARE - PRODUCTION DESIGN
,,JD6605,NAVIGATIONAL INSTRUMENTS - PRODUCTION DESIGN
,,JI1610,AIRCRAFT PROPELLERS - INSTALLATION
,,JI1660,"AIRCRAFT AIR CONDITIONING, HEATING AND PRESSURIZING EQUIPMENT - INSTALLATION"
,,JI2510,"VEHICULAR CAB, BODY AND FRAME STRUCTURAL COMPONENTS -           INSTALLATION"
,,JI2530,"VEHICULAR BRAKE, STEERING, AXLE, WHEEL AND TRACK COMPONENTS -   INSTALLATION"
,,JI2910,"ENGINE FUEL SYSTEM COMPONENTS, NON-AIRCRAFT - INSTALLATION"
,,JI3740,"PEST, DISEASE AND FROST CONTROL EQUIPMENT - INSTALLATION"
,,JI4110,REFRIGERATION EQUIPMENT - INSTALLATION
,,JI4130,REFRIGERATION AND AIR CONDITIONING COMPONENTS - INSTALLATION
,,JI4240,SAFETY AND RESCUE EQUIPMENT - INSTALLATION
,,JI4430,"INDUSTRIAL FURNACES, KILNS, LEHRS AND OVENS - INSTALLATION"
,,JI4520,SPACE HEATING EQUIPMENT AND DOMESTIC WATER HEATERS -INSTALLATION
,,JI5660,"Fencing, Fences and Gates - Installation"
,,JI5805,Aircraft (Military) Telephone and Telegraph Equipment - Installation
,,JI5826,"Radio Navigation Equipment, (Airborne) - Installation"
,,JI5830,"Intercommunication and Public Address Systems, Except Airborne - Installation"
,,JI5835,Sound Recording and Reproducing Equipment - Installation
,,JI5840,"Radar Equipment, Except Airborne - Installation"
,,JI5845,Underwater Sound Equipment - Installation
,,JI5895,Aircraft (Military) Miscellaneous Communications Equipment - Installation
,,JI5985,"Antennas, Waveguides and Related Equipment - Installation"
,,JI5995,"Cable, Cord, and Wire Assemblies, Communication Equipment - Installation"
,,JI6350,"Alarm and Signal Systems, Miscellaneous - Installation and Services"
,,JI6520,"Dental Instruments, Equipment, and Supplies - Installation"
,,JI6530,"Hospital Furniture, Equipment, Utensils and Supplies - Installation"
,,JI6610,Flight Instruments - Installation
,,JI6625,"Electrical and Electronic Properties, Measuring and Testing Instruments - Installation"
,,JI6650,"Optical Instruments, Test Equipment , Components and Accessories - Installation"
,,JI6660,Meteorological Instruments and Apparatus - Installation
,,JI6685,"Pressure, Temperature, and Humidity Measuring and Controlling Instruments - Installation"
,,JI7010,ADPE System Configuration - Installation
,,JI7021,"ADP Central Processing Unit (CPU, Computer) Digital - Installation"
,,JI7025,ADP Input - Output and Storage Devices - Installation
,,JI7110,Office Furniture - Installation
,,JI7125,"Cabinets, Lockers, Bins and Shelving - Installation"
,,JI7220,Floor Coverings - Installation
,,JI7220A,"Carpet, Installation"
,,JI7230,"Draperies, Awnings and Shades - Installation"
,,JI7310,"Food, Cooking Baking and Serving Equipment - Installation"
,,JI7510,Office Supplies - Installation
,,JI9330,Plastics Fabricated Materials - Installation
,,JI9905,Signs and Identification Plates - Installation
,,JI9930,"Memorials, Cemeterial and Mortiary Equipment and Suppliers - Installation"
,,JX1005,"Guns, Through 30MM - Repair"
,,JX1005A,Small Arms and Accessories (Military) - Repair & Overhaul
,,JX1015,"Guns, 75MM Through 125MM - Repair"
,,JX1025,"Guns, Over 150MM Through 200MM - Repair"
,,JX1035,"Guns, Over 300MM - Repair"
,,JX1055,"Launchers, Rockets and Pyrotechnic - Repair"
,,JX1095,Miscellaneous Weapons - Repair
,,JX1220,Fire Control Computing Sights and Devices - Repair
,,JX1230,Fire Control Systems - Repair
,,JX1240,Optical Sighting and Ranging Equipment - Repair
,,JX1250,Fire Control Stabilizing Mechanisms - Repair
,,JX1265,Fire Control Transmitting and Receiving Equipment (Except Airborne) - Repair
,,JX1285,"Fire Control Radar Equipment, Except Airborne - Repair"
,,JX1305,"Ammunition, Through 30MM - Repair"
,,JX1340,"Rockets, Rocket Ammunition and Rocket Components - Repair"
,,JX1355,"Torpedo and Components, Inert - Repair"
,,JX1377,Cartridge and Propellant Actuated Devices and Components - Repair
,,JX1410,Guided Missiles - Repair
,,JX1420,Guided Missile Components - Repair
,,JX1425,"Guided Missile Systems, Complete - Repair"
