CCS,CCS,GSIN,GSIN,
"CCS Group - ""L1 GSIN""",CCS Sub-Group,"""L2"" GSIN ",Full GSIN,GSIN Description EN
A. Research and Development,AA Agriculture,AA41,AA415500,Fisheries (R&D)
,,,AA415504,Aquaculture (R&D)
,,AA91,AA910300,Agriculture (R&D)
,AC Defense Systems,"AC21


",AC217760,Missile Technology (R&D)
,,AC51,AC517728,Conventional Military Weapons/Equipment (R&D)
,,,AC517748,Military Target Ranges/Systems (R&D)
,,AC61,AC617732,Electronic Military Countermeasures (Research)
,,,AC617736,Military Communications (Research)
,,,AC617768,Radar Defence Systems (R&D)
,AD Defense - Other,"AD21
",AD217740,"Military Logistics (Research)




"
,,AD91,AD917700,Military (R&D)
,,,AD917712,Biological Defence Technology (R&D)
,,,AD917716,Camouflage (R&D)
,,,AD917720,Chemical Defence Technology (R&D)
,,,AD917724,Combat Stress Effects (R&D)
,AE Economic Growth and Productivity,AE91,AE913500,Economics (R&D)
,AG Energy,"AG21





",AG214542,"Compressed Natural Gas Fuel Technology (R&D)





"
,,,AG214562,Ethanol Fuel Technology (R&D)
,,,AG214566,Gas Pipeline Technology (R&D)
,,,AG214600,Liquefied Natural Gas Fuel Technology (R&D)
,,AG41,AG414668,Wind Energy Systems (R&D)
,,AG61,AG614500,Energy
,,AG91,AG914510,Boiler Technology (R&D)
,,,AG914538,Cogeneration Technology (R&D)
,,,AG914558,Energy Efficiency Technology (R&D)
,AH Environmental Protection,"AH11




",AH115032,"Environmental Assessment (R&D)


"
,,,AH115036,Environmental Standards (Research)
,,AH21,AH215000,"Environmental Sciences: Air, Water Pollution and other (R&D)"
,,,AH215020,Air Quality (Research)
,,,AH215024,Atmospheric Pollutants (Research)
,,AH91,AH910222,Environmental Impact Study (R&D)
,AJ General Science and Technology,"AJ11







",AJ110224,"Ergonomic Study (R&D)





"
,,,AJ110700,Biology (R&D)
,,,AJ110724,Biochemistry (R&D)
,,,AJ111000,Chemistry (R&D)
,,,AJ111140,Trace Element Chemistry (R&D)
,,,AJ112000,Engineering (R&D)
,,,AJ119000,Physics (R&D)
,,,AJ119004,Acoustical Analysis/Technology (R&D)
,,,AJ119036,Electro-Optics Technology (R&D)
,,,AJ119040,Electromagnetic Technology (R&D)
,,,AJ119064,Laser Technology (R&D)
,,,AJ119084,Radiometric Technology (R&D)
,,AJ21,AJ212500,Computer Science (R&D)
,,,AJ212512,Communications Network Hardware (R&D)
,,,AJ212516,Communications Network Software (R&D)
,,,AJ212528,Computer Systems Security (R&D)
,,,AJ212540,Expert Systems Development (R&D)
,,,AJ212552,Image Enhancement Analysis Technology (R&D)
,,,AJ212568,Pattern/Optical Recognition Technology (R&D)
,,AJ31,AJ311500,Climatology (R&D)
,,AJ41,AJ412000,Communications (R&D)
,,,AJ412008,Antenna Technology (R&D)
,,,AJ412040,Infrared Technology (R&D)
,,,AJ412048,Mobile Radio Technology (R&D)
,,,AJ412060,Radar Technology (R&D)
,,,AJ412068,Satellite Communications Technology
,,,AJ412072,Satellite Navigation Technology (R&D)
,,,AJ412100,Ultra Violet (UV) Technology (R&D)
,,AJ71,AJ716500,Humanities and Social Sciences (R&D)
,,,AJ716650,Historical Research (R&D)
,,AJ91,AJ914000,Electronics (R&D)
,AK Housing,AK11,AK117000,Materials/Products (R&D)
,AN Medical,AN11,AN117500,Medical (R&D)
,,AN41,AN417668,Vaccines (R&D)
,AP Natural Resources,AP21,AP216000,Forestry (R&D)
,,AP31,AP313000,Earth Sciences (R&D)
,,,AP313076,Gravity Surveys
,,AP51,AP518500,Oceanography (R&D)
,,,AP518588,Sonar Technology (R&D)
,AR Space,AR11,AR110432,Microgravity Processing Technology
,,AR21,AR210440,Rocket Payload Instrumentation (R&D)
,,,AR210444,Satellite Antenna Design and Development (R&D)
,,,AR210480,Spacecraft Instrumentation Development (R&D)
,,AR41,AR410476,Spacecraft Ground Control Technology
,,AR91,AR910400,Astronautics (R&D)
,AS Transportation - Modal,"AS21

",AS219528,All Terrain Vehicles (R&D)
,,,AS219652,Vehicle Performance Measurement (Research)
,,AS31,AS319620,Railway Locomotion Technology (R&D)
,,AS41,AS419584,Marine Vessel Propulsion (Research)
,,,AS419632,Shipboard Electronics (R&D)
,,AS91,AS918564,Remote Control Submersible Vehicle (R&D)
,AT Transportation - General,AT31,AT319560,Integrated Navigation Systems (R&D)
,,AT41,AT419628,Road Vehicle Safety (Research)
,,AT61,AT619624,Road Vehicle Regulations (Research)
,,AT91,AT919500,Transportation (R&D)
,AV Mining Activities,AV71,AV718000,Mining and Metallurgy
,AZ Other Research and Development,AZ11,AZ110111,Scientific Data Collection - Field (R&D)
,,,AZ110112,Scientific Data Collection - Other Than Field (R&D)
,,,AZ110114,Real Time Analysis: Science and Technology Related (R&D)
,,,AZ110134,"Equipment/Machinery-Design, Development, Modification: Science and Technology Related (R&D)"
,,,AZ110136,"Measuring Instruments-Design, Development, Modification: Science and Technology Related (R&D)"
,,,AZ110140,"Product/Material - Design, Development, Formulation, Modification: Science and Technology Related (R&D)"
,,,AZ110172,Forecasting Models: Science and Technology Related (R&D)
,,,AZ110174,Mathematical Models/Algorithms: Science and Technology Related (R&D)
,,,AZ110176,Process Simulation Models: Science and Technology Related (R&D)
,,,AZ110178,Functional Simulation Modelling : Science and Technology Related (R&D)
,,,AZ110210,Research Project Management Services (R&D)
,,,AZ110252,System Requirements Definition: Science and Technology Related (R&D)
,,,AZ110254,"System Design, Development and Testing: Science and Technology Related (R&D)"
B. Special Studies and Analysis - not R&D,B000 Chemical/Biological Studies and Analyses ,B000,B000A,"Chemical/Biological Studies and Analyses, Military"
,B002 Animal and fisheries studies,B002,B002A,Animal and Fisheries Studies
,B100 Air Quality Analyses ,B100,B100A,Air Quality Analyses
,B101 Environmental Studies Development of Environmental Impact Statements and Assessments ,B101,B101A,Environmental Impact Studies
,,,B101B,Environmental Studies - Construction Sites
,B102 Soil Studies ,B102,B102A,Soil Studies
,B103 Water Quality Studies ,B103,B103A,Water Quality Studies
,B109 Other Environmental Studies ,B109,B109A,Other Environmental Studies
,B200 Geological Studies ,B200,B200A,Rock Core Drilling and Sampling
,,,B200B,Geological Studies
,B201 Geophysical Studies ,B201,B201A,Geophysical Studies
,B202 Geotechnical Studies ,B202,B202A,Geotechnical Studies - Licensed Engineers
,B204 Seismological Studies ,B204,B204A,Seismological Studies
,B206 Energy Studies ,B206,B206A,Energy Studies including Federal Buildings Initiative
,,,B206B,Energy Evaluations of Buildings
,B208 Housing and Community Development Studies (incl. Urban/Town Planning Studies) ,B208,B208B,Environmental Planning and Control
,,,B208BB,Consulting Services - Energy Conservation Systems
,B219 Other Engineering Studies ,B219,B219A,Other Engineering Studies
,B301 Data Analyses (other than scientific) ,B301,B301A,Data Analysis - Performance of a Survey
,B303 Mathematical/Statistical Analyses ,B303,B303A,Systems and Statistical Analysis
,B304 Regulatory Studies ,B304,B304A,Regulatory Studies
,B308 Accounting/Financial Management Studies ,B308,B308A,Accounting and Financial Management Studies
,B311 Organization/Administrative/Personnel Studies ,B311,B311B,Alternative Work Environment Studies
,B314 Acquisition Policy/Procedures Studies ,B314,B314A,Valuation Policies and Procedures
,B329 Other Administrative Support Studies ,B329,B329A,Business Services / Modelling and Analysis
,,,B329B,Advisory Support Services / Natural resources efficiency
